status,ticker,price,timestamp,position_type
close,CMA,36.1,2023-05-05 11:10:00-04:00,short
open,MCHP,72.8525,2023-05-05 09:37:00-04:00,long
close,MCHP,75.14,2023-05-05 15:55:00-04:00,long
open,NFLX,321.6,2023-05-05 09:47:00-04:00,short
close,NFLX,322.76,2023-05-05 15:55:00-04:00,short
open,BA,203.445,2023-05-09 09:38:00-04:00,long
close,BA,201.765,2023-05-09 10:40:00-04:00,long
open,SNOW,160.915,2023-05-09 09:37:00-04:00,long
close,SNOW,164.1,2023-05-09 15:55:00-04:00,long
open,MSFT,307.765,2023-05-11 09:43:00-04:00,short
close,MSFT,310.09,2023-05-11 11:30:00-04:00,short
open,DIS,93.31,2023-05-11 09:40:00-04:00,short
close,DIS,92.38,2023-05-11 15:55:00-04:00,short
open,BA,205.15,2023-05-17 09:38:00-04:00,long
close,BA,206.95,2023-05-17 15:55:00-04:00,long
open,FSLR,211.635,2023-05-17 09:41:00-04:00,short
close,FSLR,209.7,2023-05-17 15:55:00-04:00,short
open,NFLX,367.73,2023-05-19 09:57:00-04:00,short
close,NFLX,365.52,2023-05-19 15:55:00-04:00,short
open,META,248.11,2023-05-22 15:39:00-04:00,long
close,META,248.24,2023-05-22 15:55:00-04:00,long
open,TSLA,187.32,2023-05-23 09:37:00-04:00,long
close,TSLA,185.64,2023-05-23 14:20:00-04:00,long
open,NFLX,359.8801,2023-05-24 10:02:00-04:00,long
close,NFLX,364.675,2023-05-24 15:55:00-04:00,long
open,TMUS,135.71,2023-05-25 09:36:00-04:00,short
close,TMUS,136.82,2023-05-25 10:00:00-04:00,short
open,TSLA,185.65,2023-05-25 09:38:00-04:00,short
close,TSLA,184.5904,2023-05-25 15:55:00-04:00,short
open,PANW,204.14,2023-05-25 09:37:00-04:00,short
close,PANW,205.87,2023-05-25 09:35:00-04:00,short
open,NFLX,402.23,2023-05-30 09:36:00-04:00,long
close,NFLX,395.85,2023-05-30 09:35:00-04:00,long
open,COIN,62.38,2023-05-30 09:44:00-04:00,long
close,COIN,61.8,2023-05-30 09:50:00-04:00,long
open,AMD,129.025,2023-05-30 09:36:00-04:00,short
close,AMD,125.245,2023-05-30 15:55:00-04:00,short
open,AMAT,134.5,2023-05-31 09:42:00-04:00,long
close,AMAT,133.375,2023-05-31 10:20:00-04:00,long
open,ABBV,132.2,2023-06-01 09:36:00-04:00,short
close,ABBV,133.21,2023-06-01 11:10:00-04:00,short
open,AI,31.4799,2023-06-01 09:42:00-04:00,short
close,AI,31.81,2023-06-01 09:40:00-04:00,short
open,V,223.5,2023-06-01 10:19:00-04:00,long
close,V,226.38,2023-06-01 15:55:00-04:00,long
open,HD,282.825,2023-06-01 10:06:00-04:00,short
close,HD,285.37,2023-06-01 10:30:00-04:00,short
open,SNOW,179.74,2023-06-02 09:46:00-04:00,long
close,SNOW,176.92,2023-06-02 10:00:00-04:00,long
open,S,13.765,2023-06-02 09:47:00-04:00,long
close,S,13.53,2023-06-02 09:50:00-04:00,long
open,NET,67.38,2023-06-05 09:40:00-04:00,short
close,NET,68.35,2023-06-05 10:00:00-04:00,short
open,CRM,210.685,2023-06-05 09:43:00-04:00,short
close,CRM,210.2,2023-06-05 15:55:00-04:00,short
open,SNOW,182.3699,2023-06-06 09:36:00-04:00,long
close,SNOW,182.13,2023-06-06 15:55:00-04:00,long
open,NFLX,400.745,2023-06-06 09:36:00-04:00,short
close,NFLX,399.67,2023-06-06 15:55:00-04:00,short
open,TSLA,214.575,2023-06-06 09:48:00-04:00,short
close,TSLA,216.81,2023-06-06 10:40:00-04:00,short
open,SNOW,166.905,2023-06-08 09:36:00-04:00,long
close,SNOW,174.21,2023-06-08 15:55:00-04:00,long
