ticker,position_type,entry_time,exit_time,entry_price,exit_price,capital_allocated,shares_traded,profit/loss,% of profit/loss,updated_capital
CVS,short,2024-05-01 09:40:00-04:00,2024-05-01 11:30:00-04:00,55.5285,56.04,56864.48120217526,1024.0593785565115,-530.9747877815493,-0.9337547385576741,171148.6366420081
PDD,long,2024-05-02 09:37:00-04:00,2024-05-02 15:55:00-04:00,129.23,137.45,57049.54554733603,441.457444458222,3625.6899913353773,6.355335448425288,174774.32663334347
ARM,short,2024-05-02 09:37:00-04:00,2024-05-02 15:55:00-04:00,99.9151,98.115,57049.54554733603,570.9802176781691,1023.8246283187252,1.7946236354665117,175798.1512616622
W,short,2024-05-02 09:50:00-04:00,2024-05-02 13:35:00-04:00,58.1145,58.66,57049.54554733603,981.6748926229432,-542.3753781741731,-0.9507093754570666,175255.775883488
SQ,short,2024-05-03 09:36:00-04:00,2024-05-03 15:55:00-04:00,75.0101,69.59,87627.887941744,1168.2145196679382,6323.662016414505,7.216494845360813,181579.43789990252
DASH,short,2024-05-03 09:53:00-04:00,2024-05-03 15:55:00-04:00,114.98,113.375,87627.887941744,762.1141758718386,1217.8584530432013,1.3898069229431242,182797.29635294573
MSTR,long,2024-05-06 09:36:00-04:00,2024-05-06 15:55:00-04:00,127.15,126.447,182797.29635294573,1437.6507774514016,-1020.7320519904994,-0.5583955957530499,181776.56430095524
DASH,long,2024-05-07 09:37:00-04:00,2024-05-07 15:55:00-04:00,114.9,115.67,45444.14107523881,395.51036619006794,301.7744094030203,0.6640557006092219,182078.33871035825
MSFT,long,2024-05-07 09:38:00-04:00,2024-05-07 15:55:00-04:00,412.19,409.79,45444.14107523881,110.25046962623745,-265.37288039035104,-0.5839540017952831,181812.9658299679
COIN,long,2024-05-07 09:38:00-04:00,2024-05-07 09:40:00-04:00,228.68,226.68,45444.14107523881,198.72372343553792,-398.8385129351246,-0.8776456183312926,181414.12731703278
TSLA,short,2024-05-07 09:40:00-04:00,2024-05-07 15:55:00-04:00,180.63,178.098,45444.14107523881,251.58689628100987,635.2569131095454,1.3978851796489964,182049.3842301423
VST,long,2024-05-08 09:36:00-04:00,2024-05-08 09:35:00-04:00,86.645,85.575,182049.3842301423,2101.095091813057,-2262.8794138826484,-1.2430030584569143,179786.50481625966
VST,long,2024-05-09 09:39:00-04:00,2024-05-09 09:40:00-04:00,91.72,90.67,179786.50481625966,1960.1668645470963,-2071.8963758262753,-1.1524204099433026,177714.6084404334
MSFT,short,2024-05-13 11:54:00-04:00,2024-05-13 15:55:00-04:00,414.7,413.64,177714.6084404334,428.53775847705185,451.2502596763366,0.25391849529780625,178165.85870010973
ONON,long,2024-05-14 09:38:00-04:00,2024-05-14 09:45:00-04:00,35.05,34.73,59388.619566703244,1694.3971345707062,-554.0678630046214,-0.9329529243937241,177611.7908371051
